generic_words;jisdd_words
educadores;
politecnicos;
escolas;
lectivo;
universitario;
aluno;
formacao;
escolaridade;
disciplinas;
carreira;
pedagogica;
politecnico;
pre-escolar;
escolar;
insucesso;
escola;
professor;
bolsas;
educativo;
propinas;
estudante;
aprendizagem;
conhecimentos;
educativas;
letivo;
aulas;
universidade;
educativa;
alunos;
pedagogico;
curricular;
educacao;
estudantes;
educativos;
professores;
exames;
ensinar;
ensino;
docente;
cursos;
curriculo;
secundario;
escolares;
docentes;
ciencia;
universidades;
doencas;
gravissimo;
condenados;
maioritariamente;
edificio;
incapaz;
droga;
processual;
ponta;
testes;
identificacao;
actos;
artigo;
legislador;
interna;
reinsercao;
conhecidos;
revelado;
policias;
corrupcao;
magistrados;
tribunais;
infraccoes;
prisao;
violacao;
advem;
trafico;
violenta;
gravissimos;
educadores;
jovem;
carencias;
diploma;
criminais;
juridicos;
presos;
psp;
estabelecimentos;
garantias;
policial;
amnistia;
informacoes;
drogas;
ruptura;
recomendacoes;
estabelecimento;
instrucao;
liberdades;
quotidiano;
penal;
prisional;
confronta;
gnr;
justica;
colocado;
judiciais;
juvenil;
policiais;
reclusos;
idades;
criminalidade;
educativa;
medica;
prisionais;
chegando;
juiz;
judiciaria;
criminal;
codigo;
sancoes;
meio;
penas;
antecedente;
crime;
terrorismo;
artigos;
judicial;
guardas;
instalacoes;
minimamente;
policia;
constitucionais;
ilicito;
agente;
menores;
julgamento;
crimes;
antecedentes;
prisoes;
juizes;
contribuicoes;
doente;
internamento;
reguladora;
lares;
diagnostico;
presta;
moderadoras;
profissionais;
vitimas;
semana;
mental;
paliativos;
medicamentos;
medidas;
medico;
plafonamento;
ministro saude;
hospital;
horarios;
ana;
prescricao;
cds;
subsistemas;
precedentes;
aposentacoes;
nacional saude;
adotar;
resposta;
comparticipacoes;
ultrapassadas;
privatizar;
hospitalar;
medicas;
listas;
primarios;
excecionais;
preocupante;
sindicatos;
seguranca;
contribuintes;
virus;
contactos;
utentes;
excecional;
resiliencia;
sustentabilidade sns;
confinamento;
suplementar;
taxas moderadoras;
tratamentos;
consultas;
terapeutica;
dificeis;
pensionistas;
subsistema;
supervisao;
simplificado;
cuidados;
restritivas;
emergencia;
atingimos;
urgencias;
sustentabilidade;
covid;
privados;
funcionarios publicos;
atirar;
servico nacional;
domestica;
agir;
continuados;
deputado;
entidade;
enfermeiros;
vacinacao;
erario;
funcionarios;
servico;
cuidados saude;
cirurgia;
aposentacao;
crise;
clinica;
respostas;
prorrogacao;
ambulatorio;
utente;
medica;
camas;
saude nao;
servicos essenciais;
hospitalares;
hospitais;
medicina;
sns;
doentes;
paga;
medicos;
prestados;
previdencial;
adequadas;
crise sanitaria;
ministra;
privado;
cortar;
caixa;
sanitaria;
farmacias;
layoff;
trabalhadores;
beneficiarios;
teletrabalho;
atividades economicas;
entregar;
cirurgias;
sociais;
momento;
genericos;
pandemia;
vivemos;
semanas;
ideologico;
prestacao cuidados;
saude;
sustentabilidade servico;
medicamento;
descontos;
empregadores;
adse;
doenca;
vacina;
dificil;
pago;
criancas;
contribuicoes;
bases;
corte;
aumento;
idosos;
solidario;
atualizacao;
pensoes;
financeira seguranca;
calculo pensoes;
calculo;
aumento idade;
salarios;
idade reforma;
inflacao;
aumento esperanca;
convergencia pensoes;
plafonamento;
penalizacoes;
reforma antecipada;
caixa geral;
contribuicao;
geral;
atuais;
acesso reforma;
daqui anos;
apoios sociais;
financiamento seguranca;
legal reforma;
salario;
fator;
sustentabilidade seguranca;
formula;
velhice;
invalidez;
aposentacoes;
recebem;
ha problema;
sistema pensoes;
acordao;
financiamento sistema;
seguranca;
bancada;
tsu;
sistema nao;
social sr;
social unica;
abono;
compra;
senhores nao;
subsidio;
anos idade;
geral aposentacoes;
actualizacao;
pobreza;
anos descontos;
problema sustentabilidade;
sistema previdencial;
pensoes baixas;
prestacoes;
nova formula;
factor sustentabilidade;
extraordinaria solidariedade;
taxa social;
aumentos;
estabilizacao financeira;
social nao;
pensionistas;
contributivos;
media vida;
vieira;
minimas;
senhor;
sobre seguranca;
fundos pensoes;
complemento solidario;
sustentabilidade;
carreiras contributivas;
bases seguranca;
idade legal;
trabalhador;
causa sustentabilidade;
carreira;
funcionarios publicos;
esperanca media;
geral seguranca;
contributiva;
carreira contributiva;
corte pensoes;
reformar;
fundo estabilizacao;
trabalhou;
capitalizacao;
complemento;
sustentabilidade sistema;
deputado;
envelhecimento;
vossa;
pensoes reforma;
factor;
publico seguranca;
sustentabilidade nao;
sustentabilidade financeira;
idade;
reforma nao;
estabilizacao;
pensoes minimas;
vossas;
social sistema;
reformados;
aumento pensoes;
pensao;
funcionarios;
ces;
aposentacao;
penalizacao;
seguranca social;
reforma;
solidariedade;
baixas;
contribuicoes seguranca;
sobre sustentabilidade;
vieira silva;
contributivo;
fator sustentabilidade;
previdencial;
actualizacao pensoes;
indexante apoios;
fundo;
social;
sistema seguranca;
formula calculo;
antecipada;
vosso;
demograficas;
miseria;
esperanca;
fontes financiamento;
caixa;
pedreiras;
profissoes;
cortes;
reparticao;
antecipadas;
intergeracional;
trabalhadores;
reforma seguranca;
extraordinaria;
beneficiarios;
inconstitucional;
antecipacao;
sistema;
ex;
contribuicao extraordinaria;
esperanca vida;
sistema publico;
carreiras;
indexante;
social publica;
reforco sustentabilidade;
minimo;
longas carreiras;
diversificacao fontes;
contribuicao sustentabilidade;
convergencia;
financeira;
descontar;
contributivas;
longas;
desgaste;
financeira sistema;
descontos;
apoios;
pobres;
senhores;
proteccao;
adse;
regimes;
proteccao social;
inteira;
